Notes,Age of Mother,Age of Mother Code,ICD Chapter,ICD Chapter Code,Age of Infant at Death,Age of Infant at Death Code,Gender,Gender Code,Year of Death,Year of Death Code,Deaths,Births,Death Rate
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Female,F,2012,2012,Suppressed,148614,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Female,F,2013,2013,0,132995,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Female,F,2014,2014,Suppressed,121592,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Female,F,2015,2015,0,111694,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Female,F,2016,2016,Suppressed,102160,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Female,F,2017,2017,Suppressed,95002,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Female,F,2018,2018,Suppressed,87674,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Female,F,2019,2019,Suppressed,83308,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Female,F,2020,2020,Suppressed,77028,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Female,F,2021,2021,0,71944,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Male,M,2007,2007,Suppressed,227880,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Male,M,2008,2008,Suppressed,222435,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Male,M,2009,2009,Suppressed,210569,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Male,M,2010,2010,0,188902,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Male,M,2011,2011,Suppressed,168707,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Male,M,2012,2012,0,156774,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Male,M,2013,2013,0,140110,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Male,M,2014,2014,0,127486,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Male,M,2015,2015,0,118021,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Male,M,2016,2016,Suppressed,107649,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Male,M,2017,2017,Suppressed,99375,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Male,M,2018,2018,Suppressed,92197,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Male,M,2019,2019,0,88366,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Male,M,2020,2020,0,81015,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,Under 1 hour,1,Male,M,2021,2021,0,75029,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Female,F,2007,2007,Suppressed,217019,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Female,F,2008,2008,Suppressed,212326,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Female,F,2009,2009,Suppressed,199233,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Female,F,2010,2010,0,178776,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Female,F,2011,2011,0,161065,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Female,F,2012,2012,Suppressed,148614,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Female,F,2013,2013,Suppressed,132995,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Female,F,2014,2014,Suppressed,121592,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Female,F,2015,2015,Suppressed,111694,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Female,F,2016,2016,0,102160,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Female,F,2017,2017,0,95002,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Female,F,2018,2018,0,87674,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Female,F,2019,2019,0,83308,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Female,F,2020,2020,0,77028,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Female,F,2021,2021,Suppressed,71944,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Male,M,2007,2007,0,227880,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Male,M,2008,2008,Suppressed,222435,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Male,M,2009,2009,Suppressed,210569,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Male,M,2010,2010,Suppressed,188902,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Male,M,2011,2011,Suppressed,168707,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Male,M,2012,2012,Suppressed,156774,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Male,M,2013,2013,Suppressed,140110,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Male,M,2014,2014,0,127486,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Male,M,2015,2015,0,118021,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Male,M,2016,2016,Suppressed,107649,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Male,M,2017,2017,Suppressed,99375,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Male,M,2018,2018,Suppressed,92197,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Male,M,2019,2019,0,88366,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Male,M,2020,2020,Suppressed,81015,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 23 hours,2,Male,M,2021,2021,0,75029,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Female,F,2007,2007,0,217019,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Female,F,2008,2008,Suppressed,212326,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Female,F,2009,2009,Suppressed,199233,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Female,F,2010,2010,0,178776,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Female,F,2011,2011,Suppressed,161065,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Female,F,2012,2012,Suppressed,148614,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Female,F,2013,2013,Suppressed,132995,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Female,F,2014,2014,0,121592,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Female,F,2015,2015,Suppressed,111694,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Female,F,2016,2016,Suppressed,102160,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Female,F,2017,2017,Suppressed,95002,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Female,F,2018,2018,0,87674,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Female,F,2019,2019,0,83308,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Female,F,2020,2020,Suppressed,77028,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Female,F,2021,2021,Suppressed,71944,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Male,M,2007,2007,Suppressed,227880,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Male,M,2008,2008,0,222435,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Male,M,2009,2009,Suppressed,210569,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Male,M,2010,2010,Suppressed,188902,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Male,M,2011,2011,Suppressed,168707,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Male,M,2012,2012,Suppressed,156774,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Male,M,2013,2013,Suppressed,140110,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Male,M,2014,2014,Suppressed,127486,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Male,M,2015,2015,Suppressed,118021,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Male,M,2016,2016,0,107649,0
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Male,M,2017,2017,Suppressed,99375,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Male,M,2018,2018,Suppressed,92197,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Male,M,2019,2019,Suppressed,88366,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Male,M,2020,2020,Suppressed,81015,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,1 - 6 days,3,Male,M,2021,2021,Suppressed,75029,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Female,F,2007,2007,12,217019,0.06 (Unreliable)
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Female,F,2008,2008,Suppressed,212326,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Female,F,2009,2009,11,199233,0.06 (Unreliable)
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Female,F,2010,2010,11,178776,0.06 (Unreliable)
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Female,F,2011,2011,Suppressed,161065,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Female,F,2012,2012,Suppressed,148614,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Female,F,2013,2013,Suppressed,132995,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Female,F,2014,2014,Suppressed,121592,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Female,F,2015,2015,Suppressed,111694,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Female,F,2016,2016,Suppressed,102160,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Female,F,2017,2017,Suppressed,95002,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Female,F,2018,2018,Suppressed,87674,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Female,F,2019,2019,Suppressed,83308,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Female,F,2020,2020,Suppressed,77028,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Female,F,2021,2021,Suppressed,71944,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Male,M,2007,2007,Suppressed,227880,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Male,M,2008,2008,Suppressed,222435,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Male,M,2009,2009,Suppressed,210569,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Male,M,2010,2010,14,188902,0.07 (Unreliable)
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Male,M,2011,2011,Suppressed,168707,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Male,M,2012,2012,Suppressed,156774,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Male,M,2013,2013,11,140110,0.08 (Unreliable)
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Male,M,2014,2014,Suppressed,127486,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Male,M,2015,2015,Suppressed,118021,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Male,M,2016,2016,11,107649,0.10 (Unreliable)
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Male,M,2017,2017,Suppressed,99375,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Male,M,2018,2018,Suppressed,92197,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Male,M,2019,2019,Suppressed,88366,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Male,M,2020,2020,Suppressed,81015,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,7 - 27 days,4,Male,M,2021,2021,Suppressed,75029,Suppressed
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Female,F,2007,2007,123,217019,0.57
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Female,F,2008,2008,154,212326,0.73
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Female,F,2009,2009,123,199233,0.62
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Female,F,2010,2010,113,178776,0.63
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Female,F,2011,2011,90,161065,0.56
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Female,F,2012,2012,88,148614,0.59
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Female,F,2013,2013,86,132995,0.65
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Female,F,2014,2014,83,121592,0.68
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Female,F,2015,2015,71,111694,0.64
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Female,F,2016,2016,72,102160,0.7
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Female,F,2017,2017,87,95002,0.92
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Female,F,2018,2018,56,87674,0.64
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Female,F,2019,2019,68,83308,0.82
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Female,F,2020,2020,61,77028,0.79
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Female,F,2021,2021,73,71944,1.01
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Male,M,2007,2007,193,227880,0.85
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Male,M,2008,2008,192,222435,0.86
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Male,M,2009,2009,180,210569,0.85
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Male,M,2010,2010,144,188902,0.76
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Male,M,2011,2011,128,168707,0.76
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Male,M,2012,2012,118,156774,0.75
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Male,M,2013,2013,116,140110,0.83
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Male,M,2014,2014,110,127486,0.86
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Male,M,2015,2015,101,118021,0.86
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Male,M,2016,2016,88,107649,0.82
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Male,M,2017,2017,108,99375,1.09
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Male,M,2018,2018,103,92197,1.12
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Male,M,2019,2019,97,88366,1.1
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Male,M,2020,2020,85,81015,1.05
,15-19 years,15-19,External causes of morbidity and mortality,V01-Y89,28 - 364 days,5,Male,M,2021,2021,112,75029,1.49
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Female,F,2007,2007,0,528376,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Female,F,2008,2008,0,514709,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Female,F,2009,2009,0,491378,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Female,F,2010,2010,0,464799,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Female,F,2011,2011,0,451530,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Female,F,2012,2012,0,448537,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Female,F,2013,2013,0,438217,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Female,F,2014,2014,0,431169,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Female,F,2015,2015,0,415048,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Female,F,2016,2016,0,393040,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Female,F,2017,2017,0,373138,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Female,F,2018,2018,0,355316,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Female,F,2019,2019,0,343752,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Female,F,2020,2020,0,325234,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Female,F,2021,2021,0,317111,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Male,M,2007,2007,0,553978,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Male,M,2008,2008,0,537482,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Male,M,2009,2009,Suppressed,514604,Suppressed
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Male,M,2010,2010,0,486889,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Male,M,2011,2011,0,473670,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Male,M,2012,2012,0,468274,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Male,M,2013,2013,0,458528,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Male,M,2014,2014,0,451398,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Male,M,2015,2015,0,435461,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Male,M,2016,2016,0,410938,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Male,M,2017,2017,0,391642,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Male,M,2018,2018,0,370859,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Male,M,2019,2019,0,360590,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Male,M,2020,2020,0,340361,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,Under 1 hour,1,Male,M,2021,2021,Suppressed,331373,Suppressed
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Female,F,2007,2007,Suppressed,528376,Suppressed
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Female,F,2008,2008,0,514709,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Female,F,2009,2009,0,491378,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Female,F,2010,2010,0,464799,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Female,F,2011,2011,Suppressed,451530,Suppressed
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Female,F,2012,2012,0,448537,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Female,F,2013,2013,Suppressed,438217,Suppressed
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Female,F,2014,2014,Suppressed,431169,Suppressed
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Female,F,2015,2015,0,415048,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Female,F,2016,2016,0,393040,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Female,F,2017,2017,Suppressed,373138,Suppressed
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Female,F,2018,2018,0,355316,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Female,F,2019,2019,0,343752,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Female,F,2020,2020,0,325234,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Female,F,2021,2021,0,317111,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Male,M,2007,2007,0,553978,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Male,M,2008,2008,0,537482,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Male,M,2009,2009,0,514604,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Male,M,2010,2010,0,486889,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Male,M,2011,2011,0,473670,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Male,M,2012,2012,Suppressed,468274,Suppressed
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Male,M,2013,2013,0,458528,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Male,M,2014,2014,0,451398,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Male,M,2015,2015,0,435461,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Male,M,2016,2016,0,410938,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Male,M,2017,2017,0,391642,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Male,M,2018,2018,Suppressed,370859,Suppressed
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Male,M,2019,2019,0,360590,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Male,M,2020,2020,0,340361,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 23 hours,2,Male,M,2021,2021,0,331373,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 6 days,3,Female,F,2007,2007,0,528376,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 6 days,3,Female,F,2008,2008,0,514709,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 6 days,3,Female,F,2009,2009,Suppressed,491378,Suppressed
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 6 days,3,Female,F,2010,2010,Suppressed,464799,Suppressed
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 6 days,3,Female,F,2011,2011,0,451530,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 6 days,3,Female,F,2012,2012,0,448537,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 6 days,3,Female,F,2013,2013,Suppressed,438217,Suppressed
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 6 days,3,Female,F,2014,2014,Suppressed,431169,Suppressed
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 6 days,3,Female,F,2015,2015,0,415048,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 6 days,3,Female,F,2016,2016,0,393040,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 6 days,3,Female,F,2017,2017,0,373138,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 6 days,3,Female,F,2018,2018,0,355316,0
,20-24 years,20-24,Certain infectious and parasitic diseases,A00-B99,1 - 6 days,3,Female,F,2019,2019,Suppressed,343752,Suppressed
